ensembl_gene_id	external_gene_name	entrezgene_id	chromosome_name	start_position	end_position
ENSG00000000457	SCYL3	57147	1	169846981	169894267
ENSG00000000460	FIRRM	55732	1	169662007	169855456
ENSG00000000971	CFH	3075	1	196651754	196752476
ENSG00000001461	NIPAL3	57185	1	24413527	24476735
ENSG00000001617	SEMA3F	6405	3	50155012	50189075
ENSG00000003137	CYP26B1	56603	2	72129238	72147862
ENSG00000003393	ALS2	57679	2	201700267	201782112
ENSG00000003400	CASP10	843	2	201182693	201229428
ENSG00000003402	CFLAR	8837	2	201116154	201176687
ENSG00000003436	TFPI	7035	2	187463823	187565846
ENSG00000003509	NDUFAF7	55471	2	37231631	37253403
ENSG00000004399	PLXND1	23129	3	129555213	129606681
ENSG00000004487	KDM1A	23028	1	23019395	23083693
ENSG00000005436	GCFC2	6936	2	75652000	75711184
ENSG00000006555	TTC22	55001	1	54779712	54801323
ENSG00000006607	FARP2	9855	2	241356264	241494847
ENSG00000007001	UPP2	151531	2	157876557	158136154
ENSG00000007341	ST7L	54879	1	112523487	112620825
ENSG00000007908	SELE	6401	1	169722640	169764705
ENSG00000007923	DNAJC11	55735	1	6634168	6701924
ENSG00000007933	FMO3	2328	1	171085113	171118675
ENSG00000007968	E2F2	1870	1	23506438	23531233
ENSG00000008118	CAMK1G	57172	1	209583714	209613939
ENSG00000008128	CDK11A	728642	1	1702379	1724482
ENSG00000008226	DLEC1	9940	3	38039205	38124025
ENSG00000008300	CELSR3	1951	3	48636463	48662886
ENSG00000008324	SS18L2	51188	3	42581840	42596934
ENSG00000008869	HEATR5B	54497	2	36968383	37084398
ENSG00000008952	SEC62	7095	3	169966635	169998373
ENSG00000009307	CSDE1	7812	1	114716913	114758704
ENSG00000009709	PAX7	5081	1	18630846	18748876
ENSG00000009724	MASP2	10747	1	11022009	11047241
ENSG00000009780	FAM76A	199870	1	27725961	27763116
ENSG00000009790	TRAF3IP3	80342	1	209756032	209782320
ENSG00000010165	METTL13	51603	1	171781660	171814023
ENSG00000010282	HHATL	57467	3	42692661	42703260
ENSG00000010318	PHF7	51533	3	52410507	52427966
ENSG00000010319	SEMA3G	56920	3	52433035	52445103
ENSG00000010322	NISCH	11188	3	52455118	52493068
ENSG00000010327	STAB1	23166	3	52495337	52524512
ENSG00000010803	SCMH1	22955	1	41027202	41242306
